"","alpha","beta","eps","T1","L","M"
"y1...25",0.101193132900244,1.17421923695298,0.00045,4.6,0.219221203128898,0.119980360245351
"y1...26",0.0918288909636586,1.1972784417288,0.00043,4.5,0.187462156819975,0.102262198556452
"y1...27",0.12537697214969,1.6058517752225,0.00078,2.8,0.127575392107541,0.0888435044778028
"y1...28",0.156697709877989,1.73303521793413,0.00115,2.6,0.135951956755106,0.104542633635684
"y1...29",0.0940138287720123,1.17815982897931,0.00072,4.4,0.194325297495029,0.10485342527191
"y1...30",0.194229248135302,2.24716882497512,0.00183,1.9,0.0985940619878958,0.0925589079112413
"y1...31",0.0481183849847608,0.573802722290798,0.00405,7.9,0.48907108332419,0.141294474978728
"y1...32",0.115291008479436,1.46471187456744,0.00086,3.4,0.146496677628794,0.0957246806479354
"y1...33",0.157603300955555,1.84955736140867,0.00022,2.5,0.119980428702678,0.0969484714713803
"y1...34",0.0957742024369493,1.16863669501471,0.00114,4.1,0.194777440239331,0.104179528349349
"y1...35",0.11370954462018,1.31270114582399,0.00012,4.1,0.190849490752625,0.115546205786177
"y1...36",0.192961150409891,2.28627464896929,0.00014,1.9,0.0948111771047735,0.0903443820070712
"y1...37",0.0758955451585559,0.925102446049722,0.01323,4,0.231664628518464,0.0978858376420585
"y1...38",0.0800822301272516,0.952380308827264,0.01175,4.1,0.232657130703399,0.101949424744129
"y1...39",0.0921984012698514,0.998069496206591,0.00289,4.8,0.272935613979668,0.130356586925894
"y1...40",0.263247010944888,2.77427891316538,0.00214,1.5,0.0869500977950006,0.0988091988933353
"y1...41",0.0410326263199756,0.483557708470696,0.00439,8.8,0.593172597113021,0.148456725754863
"y1...42",0.0695319330614011,0.826888429271538,0.00156,6.3,0.33060976629674,0.13166007885273
"y1...43",0.0768148428884389,0.867155977630603,0.00222,5.7,0.322992729869454,0.135462258392274
"y1...44",0.0949180364275444,1.21594373201909,0.00085,4.2,0.182906168648013,0.101164350744189
"y1...45",0.076068226302848,0.805224969755097,0.00247,6.1,0.382273532086412,0.152347487866972
"y1...46",0.0976521011018512,1.20712052303496,0.00034,4.4,0.194083906911056,0.107483709522701
