"","lambda","eps","T2","L","M"
"time...117",0.0412168971896436,0.2071,43.8,60.196823744564,30.7274635906051
"time...118",0.0404139666336683,0.04328,40.7,27.2854734848178,14.0980959511815
"time...119",0.0400143881264831,0.13882,33.3,8.44158589842785,4.38556379944854
"time...120",0.0407476635833458,0.0855,41.6,34.5731812744717,17.7630927661577
"time...121",0.0405602556750078,0.05365,35.9,14.3522599667405,7.3910492592578
"time...122",0.0402666262788393,0.08482,33.7,9.73516647135892,5.03757025702103
"time...123",0.0408126399117357,0.09296,44.8,60.7698319410856,31.2384014026051
"time...124",0.0401352033495381,0.12839,34.1,9.36068286007674,4.84956949236776
"time...125",0.040631345156014,0.06732,37.1,18.711150046728,9.63875137292818
"time...126",0.0400175776682011,0.1482,36.1,12.117165079256,6.29463380890487
"time...127",0.0405028700578145,0.0475,36.6,15.7611197927876,8.12715117084519
"time...128",0.0400232728754722,0.14069,34.9,10.3783185566766,5.3906306418248
"time...129",0.0415300139352354,0.37023,40.2,46.4033654238601,23.6228216538047
"time...130",0.041760532548704,0.40077,45.5,117.290375003599,59.539563860498
"time...131",0.0419451597326337,0.40456,62.4,1487.07129095502,751.832728562205
"time...132",0.0415871914693032,0.34787,46.5,117.385517144646,59.682814936401
"time...133",0.0406312089890411,0.05376,49.6,102.929885668459,53.0228582991084
"time...134",0.0394333926099333,0.28122,34.8,7.85637728632081,4.11562429196732
"time...135",0.0408934678643468,0.11551,43.6,51.4431613939408,26.3960657200485
"time...136",0.0418576505252329,0.44449,40.4,54.5368296165889,27.6254622865771
