"","lambda","eps","T4","L","M"
"time...722",0.0410012370523909,0.01115,47.6,89.7140746877984,45.9221822199495
"time...723",0.039507106853113,0.0107,55.2,95.434989804406,49.9082728212104
"time...724",0.0411907207684607,0.01082,46.8,90.7730890223679,46.3621290492065
"time...725",0.0408138236114606,0.0111,47.6,89.6807825239654,46.0986869101139
"time...726",0.0420996994454012,0.01071,42.9,91.6629691344193,46.2929655890587
"time...727",0.0402916070876354,0.01094,50.8,90.953123733014,47.0378404083104
"time...728",0.0400357709120221,0.01127,51.6,89.6128502891613,46.5326760394405
"time...729",0.0395511399113599,0.01085,55.1,94.2625080270401,49.2444810122987
"time...730",0.0390442766612985,0.01075,57.3,95.3199712042968,50.2310523466329
"time...731",0.0412617323490621,0.01109,45.6,89.1347656954609,45.5485965218195
"time...732",0.0407964922005758,0.01073,48.9,93.5776476486113,48.0256725174022
"time...733",0.0402134023551474,0.01106,50.7,90.9529637349269,47.1219459327334
"time...734",0.0422082942295803,0.01056,42,92.2912408253339,46.6103220141191
"time...735",0.040890803049254,0.01112,47.6,89.6944561009701,46.0259951733082
"time...736",0.0402577335375677,0.01093,50.8,90.9530545613776,47.0742379620189
"time...737",0.0405559812305738,0.01091,49.8,91.0499898100866,46.8929766440661
"time...738",0.0408971415069226,0.01112,47.6,89.6955818973669,46.0200177863752
"time...739",0.0406437249273222,0.01069,48.9,93.5586626433377,48.1817608427608
"time...740",0.0408252437385525,0.0111,47.6,89.6828107378117,46.0878876829943
"time...741",0.0420577340146761,0.0107,42.9,91.643522161892,46.3253871812195
"time...742",0.0406645922987033,0.01084,48.8,91.0435298873728,46.8643795654667
"time...743",0.0402616239723302,0.01093,50.8,90.9530626041427,47.0700522885539
"time...744",0.0419626879091587,0.01101,42.7,88.8338507858186,44.9981505579428
"time...745",0.0411074301877672,0.0108,46.8,90.7533436924325,46.4382165425273
"time...746",0.0427769593968696,0.01106,39.8,86.1571207806626,43.1966840852983
"time...747",0.0405270718828944,0.0109,49.8,91.0481920588165,46.9228077719257
"time...748",0.0399761538566144,0.01125,51.6,89.6162641272823,46.59835794674
"time...749",0.0394159861319437,0.0108,55.1,94.2974550206954,49.4185835826126
"time...750",0.04164487897285,0.01051,45,94.1381137178907,47.8022888723272
"time...751",0.0396487818608887,0.01086,54,93.6203011392057,48.8798057410499
"time...752",0.0414089056433063,0.01097,45.7,90.4745063213883,46.0825139264983
"time...753",0.0406303926762329,0.01083,48.8,91.0393725165515,46.8984896209056
"time...754",0.0408015089883833,0.01088,48.8,91.0601745596944,46.7283802623754
"time...755",0.0395627910672264,0.01072,55.2,95.4203590869443,49.8358224592964
"time...756",0.0409538552928733,0.01114,47.6,89.705657795657,45.9666555863369
"time...757",0.0406942272137825,0.0107,48.9,93.5649383993522,48.1300263693397
"time...758",0.0405466121007478,0.01076,49.9,93.520236863338,48.175446536695
"time...759",0.0390140595893426,0.01074,57.3,95.3320176433389,50.273349944707
"time...760",0.0414674338631044,0.01083,45.8,90.4916426247279,46.0315925725717
"time...761",0.0403040938051256,0.01066,51,94.6113976387465,48.9158306970645
"time...762",0.0411411519874182,0.01096,46.7,90.7613381763794,46.4073798770236
"time...763",0.0397049908086089,0.01088,54,93.609583943267,48.810406724398
"time...764",0.0416821357519535,0.01052,45,94.151637615327,47.7700055067146
"time...765",0.0406318942458965,0.01083,48.8,91.0395546881693,46.8969904528124
"time...766",0.0412977324371828,0.01094,45.7,90.4419622506659,46.1796399041892
"time...767",0.0399203349304054,0.01094,52.9,91.6652353948949,47.6408486820159
"time...768",0.040777148325967,0.01102,48.7,91.0572127823113,46.752513424606
"time...769",0.0403970361985432,0.01086,49.8,91.0401036713299,47.0575301015291
"time...770",0.041408464686914,0.01097,45.7,90.4743763873999,46.0828855325914
"time...771",0.0409768326402681,0.01099,47.7,90.9652505648852,46.5880927907303
"time...772",0.0407106798484756,0.01056,49,94.8518991701748,48.7739195292799
"time...773",0.040915304453935,0.01113,47.6,89.6988091650076,46.0029112586592
"time...774",0.0406413851464094,0.01098,48.7,91.0407090251641,46.8875172788026
"time...775",0.0390666749155781,0.01076,57.3,95.3110414872305,50.1997416906774
"time...776",0.0399777642373859,0.01125,51.6,89.6161721254684,46.5965767210737
"time...777",0.040137571217264,0.01116,51.7,90.7711723038584,47.024042405571
"time...778",0.0412098788313459,0.01098,46.7,90.7776313842159,46.3446738044943
