"","alpha","beta","eps","T2","L","M"
"time...92",0.0901743385578197,1.16112257368501,0.05462,34.9,9.28057444853335,4.96994018996987
"time...93",0.104710461187069,1.35607238442543,0.04541,39.4,15.3047587080182,9.44863641636146
"time...94",0.106371102967168,1.26869889957052,0.05058,34.8,13.814187459894,8.12841619280903
"time...95",0.142463771484226,1.70966049526915,0.04783,40,25.5704287445544,19.8146512576099
"time...96",0.123782590478935,1.48789148187065,0.03811,43,40.1114134317088,27.3049261599596
"time...97",0.115585213653114,1.4508717445708,0.05103,39.8,19.3204359383329,12.7612482383521
"time...98",0.15227262768915,1.85214793492622,0.03473,44.3,41.6987734963003,34.760237935474
"time...99",0.0783658542116722,0.952617757403539,0.0476,36.8,16.9541592736181,7.66154941154004
"time...100",0.0888011788877154,1.07912201569206,0.0428,37.5,18.4331980749808,9.32553725909933
"time...101",0.0717551524839066,0.859893909367073,0.03615,39.5,26.3784495349373,10.9042829805717
"time...102",0.0855012968267932,1.02409451491676,0.04167,38.1,21.9133870084163,10.6001675103542
"time...103",0.113911040658993,1.4249656542517,0.03697,43.5,32.629138442072,21.2057007329717
"time...104",0.0704597937334088,0.806687017017276,0.03078,40.5,39.6264923892508,15.6211713651002
"time...105",0.051544009111863,0.641350901653629,0.04791,42.3,28.8703433417218,9.1368168474249
