"","G","r","eps","T3","L","M"
"mu...52",62.722122932834,31.3748038300677,0.00161,6,0.257077219934197,0.132346020792811
"mu...53",62.748887371094,30.5554935921096,0.00162,6,0.257077227389461,0.132289569640476
"mu...54",62.7737200110909,31.3156665849134,0.00161,6,0.257077208801436,0.132237240746412
"mu...55",62.7088949401478,30.9130375277292,0.00162,6,0.257077206598551,0.132373941258126
"mu...56",62.6785707577992,30.9398968025175,0.00162,6,0.257077208393709,0.132437983992866
"mu...57",62.7250582696725,30.9482324878954,0.00162,6,0.257077222175015,0.132339827142447
"mu...58",62.7051548851516,31.1021488544798,0.00162,6,0.257077216194531,0.132381834630734
"mu...59",62.6963364081329,31.0971107197687,0.00162,6,0.257077218658424,0.132400453953434
"mu...60",62.7361747288238,31.0800066903111,0.00162,6,0.257077209187395,0.132316379952068
"mu...61",62.6533512824615,31.0415320651074,0.00162,6,0.257077212628124,0.132491292615734
"mu...62",62.8153280012238,30.9372353689069,0.00162,6,0.257077205975727,0.132149649473765
"mu...63",62.5818648536939,30.8734326300773,0.00162,6,0.257077193480298,0.132642639651058
"mu...64",62.7884235344667,30.8286958805355,0.00162,6,0.25707721930054,0.132206272194935
"mu...65",62.7628442206494,30.956693822576,0.00162,6,0.257077210703327,0.132260155247495
"mu...66",62.7370453066324,31.2607011375529,0.00153,6.1,0.260454020049121,0.134074352605235
"mu...67",62.7354793793412,31.1404064164335,0.00162,6,0.257077196162601,0.132317849226575
"mu...68",62.6749264266584,30.8343596863492,0.00162,6,0.257077203917286,0.132445685543117
"mu...69",62.7921412819182,31.2181064539094,0.00161,6,0.257077209584458,0.132198446643059
"mu...70",62.7477643047835,30.9175530416514,0.00162,6,0.257077211033428,0.132291940605984
"mu...71",62.7163804043049,31.1057538809847,0.00162,6,0.257077204146041,0.132358142279427
"mu...72",62.731100958079,30.8142619659478,0.00162,6,0.257077219106677,0.132327079908256
"mu...73",62.7417204208371,30.9740467672541,0.00162,6,0.257077213668149,0.132304683637586
"mu...74",62.7884379382248,31.1871086611971,0.00153,6.1,0.260454026212605,0.133964610449578
"mu...75",62.7492274510776,31.0068175431901,0.00162,6,0.257077212242163,0.132288855637132
"mu...76",62.6917096231079,31.0070567771293,0.00162,6,0.257077225989219,0.132410224084653
